YEAR,INDEX,TEMP3,MODEL,SERIES,USED
2093,7,0.915052414,MPI-ESM-MR_2.6,2.6,Y
2094,7,1.307887077,MPI-ESM-MR_2.6,2.6,Y
2095,7,1.721091747,MPI-ESM-MR_2.6,2.6,Y
2096,7,2.226161003,MPI-ESM-MR_2.6,2.6,Y
2097,7,0.412926197,MPI-ESM-MR_2.6,2.6,Y
2098,7,0.417180061,MPI-ESM-MR_2.6,2.6,Y
2099,7,1.85863018,MPI-ESM-MR_2.6,2.6,Y
2022,7,-0.694378853,CESM1-CAM5_4.5,4.5,N
2023,7,-0.361878872,CESM1-CAM5_4.5,4.5,N
2024,7,-1.027239323,CESM1-CAM5_4.5,4.5,N
2025,7,0.825288773,CESM1-CAM5_4.5,4.5,N
2026,7,-0.854319572,CESM1-CAM5_4.5,4.5,N
2027,7,-0.947471619,CESM1-CAM5_4.5,4.5,N
2028,7,-0.767995358,CESM1-CAM5_4.5,4.5,N
2029,7,0.726676464,CESM1-CAM5_4.5,4.5,N
2030,7,0.571368694,CESM1-CAM5_4.5,4.5,N
2031,7,0.869029522,CESM1-CAM5_4.5,4.5,N
2032,7,0.338022709,CESM1-CAM5_4.5,4.5,N
2033,7,0.096915245,CESM1-CAM5_4.5,4.5,N
2034,7,-0.248561382,CESM1-CAM5_4.5,4.5,N
2035,7,0.316834927,CESM1-CAM5_4.5,4.5,N
2036,7,-0.454115868,CESM1-CAM5_4.5,4.5,N
2037,7,0.530100822,CESM1-CAM5_4.5,4.5,N
2038,7,1.109740257,CESM1-CAM5_4.5,4.5,N
2039,7,-0.130157471,CESM1-CAM5_4.5,4.5,N
2040,7,0.579974651,CESM1-CAM5_4.5,4.5,N
2041,7,0.681081772,CESM1-CAM5_4.5,4.5,N
2042,7,0.471052647,CESM1-CAM5_4.5,4.5,N
2043,7,0.346361637,CESM1-CAM5_4.5,4.5,N
2044,7,1.594161034,CESM1-CAM5_4.5,4.5,N
2045,7,0.644159317,CESM1-CAM5_4.5,4.5,N
2046,7,-0.351392746,CESM1-CAM5_4.5,4.5,N
2047,7,1.99869442,CESM1-CAM5_4.5,4.5,N
2048,7,0.756695747,CESM1-CAM5_4.5,4.5,N
2049,7,0.256428719,CESM1-CAM5_4.5,4.5,N
2050,7,1.647465706,CESM1-CAM5_4.5,4.5,N
2051,7,1.391236305,CESM1-CAM5_4.5,4.5,N
2052,7,1.947846413,CESM1-CAM5_4.5,4.5,N
2053,7,1.97300148,CESM1-CAM5_4.5,4.5,N
2054,7,2.78038311,CESM1-CAM5_4.5,4.5,N
2055,7,2.671854019,CESM1-CAM5_4.5,4.5,N
2056,7,1.740194321,CESM1-CAM5_4.5,4.5,N
2057,7,1.841219902,CESM1-CAM5_4.5,4.5,N
2058,7,1.753997803,CESM1-CAM5_4.5,4.5,N
2059,7,2.173893929,CESM1-CAM5_4.5,4.5,N
2060,7,1.857825279,CESM1-CAM5_4.5,4.5,N
2061,7,1.760685921,CESM1-CAM5_4.5,4.5,N
2062,7,0.671630383,CESM1-CAM5_4.5,4.5,N
2063,7,0.537904263,CESM1-CAM5_4.5,4.5,N
2064,7,0.708149433,CESM1-CAM5_4.5,4.5,N
2065,7,2.160052299,CESM1-CAM5_4.5,4.5,N
2066,7,0.957358837,CESM1-CAM5_4.5,4.5,N
2067,7,2.400611877,CESM1-CAM5_4.5,4.5,N
2068,7,2.01785183,CESM1-CAM5_4.5,4.5,N
2069,7,2.430728912,CESM1-CAM5_4.5,4.5,N
2070,7,2.102884293,CESM1-CAM5_4.5,4.5,N
2071,7,0.383498669,CESM1-CAM5_4.5,4.5,N
2072,7,0.600759029,CESM1-CAM5_4.5,4.5,N
2073,7,2.569755554,CESM1-CAM5_4.5,4.5,N
