YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,610,91,5,2,76,5,2,ELMEJJATI
1997,610,91,5,1,77,1,2,ELMEJJATI
1997,610,91,5,2,77,2,2,ELMEJJATI
1997,610,91,5,1,78,1,2,ELMEJJATI
1997,610,26,5,2,78,1,2,ELMEJJATI
1997,610,91,5,2,78,2,2,ELMEJJATI
1997,610,91,5,1,79,2,2,ELMEJJATI
1997,610,91,5,2,79,3,2,ELMEJJATI
1997,610,91,5,1,80,1,2,ELMEJJATI
1997,610,91,5,2,80,1,2,ELMEJJATI
1997,610,91,5,1,81,2,2,ELMEJJATI
1997,610,91,5,2,82,2,2,ELMEJJATI
1997,610,91,5,1,84,2,2,ELMEJJATI
1997,610,91,5,2,84,1,2,ELMEJJATI
1997,610,91,5,1,85,1,2,ELMEJJATI
1997,610,91,5,2,86,2,2,ELMEJJATI
1997,610,91,5,2,87,1,2,ELMEJJATI
1997,610,91,5,1,89,1,2,ELMEJJATI
1997,610,91,5,1,90,1,2,ELMEJJATI
1997,610,91,5,2,90,2,2,ELMEJJATI
1997,610,91,5,2,91,1,2,ELMEJJATI
1997,610,91,5,1,92,1,2,ELMEJJATI
1997,610,91,5,2,92,1,2,ELMEJJATI
1997,610,91,5,2,94,1,2,ELMEJJATI
1997,610,91,5,2,95,1,2,ELMEJJATI
1997,610,91,5,2,100,1,2,ELMEJJATI
1997,610,91,9,2,57,1,3,ELMEJJATI
1997,610,91,9,2,58,2,3,ELMEJJATI
1997,610,91,9,1,59,1,3,ELMEJJATI
1997,610,91,9,1,60,1,3,ELMEJJATI
1997,610,91,9,1,61,1,3,ELMEJJATI
1997,610,91,9,1,62,3,3,ELMEJJATI
1997,610,91,9,2,62,1,3,ELMEJJATI
1997,610,91,9,1,63,1,3,ELMEJJATI
1997,610,91,9,2,63,1,3,ELMEJJATI
1997,610,91,9,1,64,4,3,ELMEJJATI
1997,610,91,9,2,64,1,3,ELMEJJATI
